id,fname,lname,address,postal,phone,ctype
1,Katherine,Walsh,83 Citdl Mdw Grove NW Calgary,T3K 1B6,403-374-1785,R
2,Molly,MacDonald,6912 Lefroy Crt SW Calgary,T3E 6G9,403-242-1274,R
3,Gabrielle,Gibson,4913 16 Ave SE Calgary,T2A 0P1,403-313-4736,R
4,Diane,Hunter,39 Hillgrove Cres SW Calgary,T2V 3K8,403-253-8411,R
5,Kylie,Hudson,1127 8 St SE Calgary,T2G 2Z6,403-698-0817,R
6,Virginia,Oliver,3626 7 St SW Calgary,T2T 2Y1,403-243-2927,R
7,Ryan,Dickens,272 Huntington Close NE Calgary,T2K 5B3,403-275-5560,C
8,Colin,Poole,15 Bermuda Rd NW Calgary,T3K 1G5,403-242-4792,C
9,Leah,Mathis,206 W Ck Mews SW Calgary,T3H 2K1,403-280-2405,C
10,Natalie,Lambert,343 Penswood Way SE Calgary,T2A 4T4,403-475-3115,C
